year_month,vmp,quantity,unit,organisation
2020-11-01,42206511000001102,770,tablet,RK9
2020-11-01,42206511000001102,219,tablet,RT2
2020-11-01,42206511000001102,646,tablet,RXY
2020-11-01,14254711000001104,628,tablet,RK9
2020-11-01,14254711000001104,404,tablet,RT2
2020-11-01,14254711000001104,195,tablet,RXY
2020-11-01,38728311000001104,770,tablet,RK9
2020-11-01,38728311000001104,280,tablet,RT2
2020-11-01,38728311000001104,127,tablet,RXY
2020-12-01,42206511000001102,656,tablet,RK9
2020-12-01,42206511000001102,991,tablet,RT2
2020-12-01,42206511000001102,213,tablet,RXY
2020-12-01,14254711000001104,987,tablet,RK9
2020-12-01,14254711000001104,801,tablet,RT2
2020-12-01,14254711000001104,818,tablet,RXY
2020-12-01,38728311000001104,847,tablet,RK9
2020-12-01,38728311000001104,329,tablet,RT2
2020-12-01,38728311000001104,159,tablet,RXY
2020-12-31,42206511000001102,324,tablet,RK9
2020-12-31,42206511000001102,446,tablet,RT2
2020-12-31,42206511000001102,532,tablet,RXY
2020-12-31,14254711000001104,665,tablet,RK9
2020-12-31,14254711000001104,749,tablet,RT2
2020-12-31,14254711000001104,701,tablet,RXY
2020-12-31,38728311000001104,143,tablet,RK9
2020-12-31,38728311000001104,215,tablet,RT2
2020-12-31,38728311000001104,723,tablet,RXY
2021-01-30,42206511000001102,980,tablet,RK9
2021-01-30,42206511000001102,648,tablet,RT2
2021-01-30,42206511000001102,312,tablet,RXY
2021-01-30,14254711000001104,277,tablet,RK9
2021-01-30,14254711000001104,906,tablet,RT2
2021-01-30,14254711000001104,687,tablet,RXY
2021-01-30,38728311000001104,664,tablet,RK9
2021-01-30,38728311000001104,935,tablet,RT2
2021-01-30,38728311000001104,566,tablet,RXY
2021-03-01,42206511000001102,757,tablet,RK9
2021-03-01,42206511000001102,469,tablet,RT2
2021-03-01,42206511000001102,418,tablet,RXY
2021-03-01,14254711000001104,760,tablet,RK9
2021-03-01,14254711000001104,678,tablet,RT2
2021-03-01,14254711000001104,984,tablet,RXY
2021-03-01,38728311000001104,556,tablet,RK9
2021-03-01,38728311000001104,528,tablet,RT2
2021-03-01,38728311000001104,865,tablet,RXY
2021-03-31,42206511000001102,936,tablet,RK9
2021-03-31,42206511000001102,443,tablet,RT2
2021-03-31,42206511000001102,271,tablet,RXY
2021-03-31,14254711000001104,888,tablet,RK9
2021-03-31,14254711000001104,513,tablet,RT2
2021-03-31,14254711000001104,174,tablet,RXY
2021-03-31,38728311000001104,903,tablet,RK9
2021-03-31,38728311000001104,597,tablet,RT2
2021-03-31,38728311000001104,687,tablet,RXY
