year_month,ingredient,vmp,quantity,unit,organisation
2020-11-01,ING001,42206511000001102,145,mg,RK9
2020-11-01,ING001,42206511000001102,92,mg,RT2
2020-11-01,ING001,42206511000001102,69,mg,RXY
2020-11-01,ING001,14254711000001104,129,mg,RK9
2020-11-01,ING001,14254711000001104,79,mg,RT2
2020-11-01,ING001,14254711000001104,94,mg,RXY
2020-11-01,ING001,38728311000001104,69,mg,RK9
2020-11-01,ING001,38728311000001104,149,mg,RT2
2020-11-01,ING001,38728311000001104,148,mg,RXY
2020-11-01,ING002,42206511000001102,95,mg,RK9
2020-11-01,ING002,42206511000001102,138,mg,RT2
2020-11-01,ING002,42206511000001102,79,mg,RXY
2020-11-01,ING002,14254711000001104,105,mg,RK9
2020-11-01,ING002,14254711000001104,120,mg,RT2
2020-11-01,ING002,14254711000001104,109,mg,RXY
2020-11-01,ING002,38728311000001104,86,mg,RK9
2020-11-01,ING002,38728311000001104,135,mg,RT2
2020-11-01,ING002,38728311000001104,110,mg,RXY
2020-11-01,ING003,42206511000001102,122,mg,RK9
2020-11-01,ING003,42206511000001102,134,mg,RT2
2020-11-01,ING003,42206511000001102,50,mg,RXY
2020-11-01,ING003,14254711000001104,53,mg,RK9
2020-11-01,ING003,14254711000001104,79,mg,RT2
2020-11-01,ING003,14254711000001104,57,mg,RXY
2020-11-01,ING003,38728311000001104,145,mg,RK9
2020-11-01,ING003,38728311000001104,146,mg,RT2
2020-11-01,ING003,38728311000001104,80,mg,RXY
2020-12-01,ING001,42206511000001102,124,mg,RK9
2020-12-01,ING001,42206511000001102,112,mg,RT2
2020-12-01,ING001,42206511000001102,147,mg,RXY
2020-12-01,ING001,14254711000001104,119,mg,RK9
2020-12-01,ING001,14254711000001104,118,mg,RT2
2020-12-01,ING001,14254711000001104,150,mg,RXY
2020-12-01,ING001,38728311000001104,67,mg,RK9
2020-12-01,ING001,38728311000001104,144,mg,RT2
2020-12-01,ING001,38728311000001104,140,mg,RXY
2020-12-01,ING002,42206511000001102,60,mg,RK9
2020-12-01,ING002,42206511000001102,96,mg,RT2
2020-12-01,ING002,42206511000001102,114,mg,RXY
2020-12-01,ING002,14254711000001104,60,mg,RK9
2020-12-01,ING002,14254711000001104,73,mg,RT2
2020-12-01,ING002,14254711000001104,107,mg,RXY
2020-12-01,ING002,38728311000001104,86,mg,RK9
2020-12-01,ING002,38728311000001104,89,mg,RT2
2020-12-01,ING002,38728311000001104,59,mg,RXY
2020-12-01,ING003,42206511000001102,146,mg,RK9
2020-12-01,ING003,42206511000001102,147,mg,RT2
2020-12-01,ING003,42206511000001102,126,mg,RXY
2020-12-01,ING003,14254711000001104,114,mg,RK9
2020-12-01,ING003,14254711000001104,106,mg,RT2
2020-12-01,ING003,14254711000001104,74,mg,RXY
2020-12-01,ING003,38728311000001104,143,mg,RK9
2020-12-01,ING003,38728311000001104,114,mg,RT2
2020-12-01,ING003,38728311000001104,121,mg,RXY
2020-12-31,ING001,42206511000001102,72,mg,RK9
2020-12-31,ING001,42206511000001102,139,mg,RT2
2020-12-31,ING001,42206511000001102,125,mg,RXY
2020-12-31,ING001,14254711000001104,149,mg,RK9
2020-12-31,ING001,14254711000001104,87,mg,RT2
2020-12-31,ING001,14254711000001104,78,mg,RXY
2020-12-31,ING001,38728311000001104,118,mg,RK9
2020-12-31,ING001,38728311000001104,142,mg,RT2
2020-12-31,ING001,38728311000001104,56,mg,RXY
2020-12-31,ING002,42206511000001102,62,mg,RK9
2020-12-31,ING002,42206511000001102,84,mg,RT2
2020-12-31,ING002,42206511000001102,149,mg,RXY
2020-12-31,ING002,14254711000001104,97,mg,RK9
2020-12-31,ING002,14254711000001104,54,mg,RT2
2020-12-31,ING002,14254711000001104,134,mg,RXY
2020-12-31,ING002,38728311000001104,53,mg,RK9
2020-12-31,ING002,38728311000001104,62,mg,RT2
2020-12-31,ING002,38728311000001104,56,mg,RXY
2020-12-31,ING003,42206511000001102,99,mg,RK9
2020-12-31,ING003,42206511000001102,128,mg,RT2
2020-12-31,ING003,42206511000001102,66,mg,RXY
2020-12-31,ING003,14254711000001104,52,mg,RK9
2020-12-31,ING003,14254711000001104,108,mg,RT2
2020-12-31,ING003,14254711000001104,83,mg,RXY
2020-12-31,ING003,38728311000001104,82,mg,RK9
2020-12-31,ING003,38728311000001104,131,mg,RT2
2020-12-31,ING003,38728311000001104,148,mg,RXY
2021-01-30,ING001,42206511000001102,86,mg,RK9
2021-01-30,ING001,42206511000001102,119,mg,RT2
2021-01-30,ING001,42206511000001102,71,mg,RXY
2021-01-30,ING001,14254711000001104,141,mg,RK9
2021-01-30,ING001,14254711000001104,80,mg,RT2
2021-01-30,ING001,14254711000001104,83,mg,RXY
2021-01-30,ING001,38728311000001104,93,mg,RK9
2021-01-30,ING001,38728311000001104,75,mg,RT2
2021-01-30,ING001,38728311000001104,92,mg,RXY
2021-01-30,ING002,42206511000001102,59,mg,RK9
2021-01-30,ING002,42206511000001102,55,mg,RT2
2021-01-30,ING002,42206511000001102,85,mg,RXY
2021-01-30,ING002,14254711000001104,124,mg,RK9
2021-01-30,ING002,14254711000001104,141,mg,RT2
2021-01-30,ING002,14254711000001104,114,mg,RXY
2021-01-30,ING002,38728311000001104,88,mg,RK9
2021-01-30,ING002,38728311000001104,86,mg,RT2
2021-01-30,ING002,38728311000001104,94,mg,RXY
2021-01-30,ING003,42206511000001102,113,mg,RK9
2021-01-30,ING003,42206511000001102,135,mg,RT2
2021-01-30,ING003,42206511000001102,56,mg,RXY
2021-01-30,ING003,14254711000001104,88,mg,RK9
2021-01-30,ING003,14254711000001104,98,mg,RT2
2021-01-30,ING003,14254711000001104,101,mg,RXY
2021-01-30,ING003,38728311000001104,58,mg,RK9
2021-01-30,ING003,38728311000001104,150,mg,RT2
2021-01-30,ING003,38728311000001104,130,mg,RXY
2021-03-01,ING001,42206511000001102,126,mg,RK9
2021-03-01,ING001,42206511000001102,65,mg,RT2
2021-03-01,ING001,42206511000001102,89,mg,RXY
2021-03-01,ING001,14254711000001104,103,mg,RK9
2021-03-01,ING001,14254711000001104,127,mg,RT2
2021-03-01,ING001,14254711000001104,142,mg,RXY
2021-03-01,ING001,38728311000001104,123,mg,RK9
2021-03-01,ING001,38728311000001104,104,mg,RT2
2021-03-01,ING001,38728311000001104,81,mg,RXY
2021-03-01,ING002,42206511000001102,76,mg,RK9
2021-03-01,ING002,42206511000001102,84,mg,RT2
2021-03-01,ING002,42206511000001102,76,mg,RXY
2021-03-01,ING002,14254711000001104,103,mg,RK9
2021-03-01,ING002,14254711000001104,134,mg,RT2
2021-03-01,ING002,14254711000001104,141,mg,RXY
2021-03-01,ING002,38728311000001104,140,mg,RK9
2021-03-01,ING002,38728311000001104,70,mg,RT2
2021-03-01,ING002,38728311000001104,147,mg,RXY
2021-03-01,ING003,42206511000001102,98,mg,RK9
2021-03-01,ING003,42206511000001102,136,mg,RT2
2021-03-01,ING003,42206511000001102,118,mg,RXY
2021-03-01,ING003,14254711000001104,69,mg,RK9
2021-03-01,ING003,14254711000001104,110,mg,RT2
2021-03-01,ING003,14254711000001104,98,mg,RXY
2021-03-01,ING003,38728311000001104,100,mg,RK9
2021-03-01,ING003,38728311000001104,57,mg,RT2
2021-03-01,ING003,38728311000001104,98,mg,RXY
2021-03-31,ING001,42206511000001102,133,mg,RK9
2021-03-31,ING001,42206511000001102,133,mg,RT2
2021-03-31,ING001,42206511000001102,104,mg,RXY
2021-03-31,ING001,14254711000001104,99,mg,RK9
2021-03-31,ING001,14254711000001104,76,mg,RT2
2021-03-31,ING001,14254711000001104,125,mg,RXY
2021-03-31,ING001,38728311000001104,136,mg,RK9
2021-03-31,ING001,38728311000001104,146,mg,RT2
2021-03-31,ING001,38728311000001104,90,mg,RXY
2021-03-31,ING002,42206511000001102,116,mg,RK9
2021-03-31,ING002,42206511000001102,70,mg,RT2
2021-03-31,ING002,42206511000001102,60,mg,RXY
2021-03-31,ING002,14254711000001104,123,mg,RK9
2021-03-31,ING002,14254711000001104,148,mg,RT2
2021-03-31,ING002,14254711000001104,111,mg,RXY
2021-03-31,ING002,38728311000001104,135,mg,RK9
2021-03-31,ING002,38728311000001104,141,mg,RT2
2021-03-31,ING002,38728311000001104,134,mg,RXY
2021-03-31,ING003,42206511000001102,76,mg,RK9
2021-03-31,ING003,42206511000001102,128,mg,RT2
2021-03-31,ING003,42206511000001102,145,mg,RXY
2021-03-31,ING003,14254711000001104,103,mg,RK9
2021-03-31,ING003,14254711000001104,124,mg,RT2
2021-03-31,ING003,14254711000001104,104,mg,RXY
2021-03-31,ING003,38728311000001104,146,mg,RK9
2021-03-31,ING003,38728311000001104,80,mg,RT2
2021-03-31,ING003,38728311000001104,143,mg,RXY
