year_month,vmp,quantity,unit,organisation
2020-11-01,42206511000001102,88,tablet,RK9
2020-11-01,42206511000001102,110,tablet,RT2
2020-11-01,42206511000001102,93,tablet,RXY
2020-11-01,14254711000001104,93,tablet,RK9
2020-11-01,14254711000001104,117,tablet,RT2
2020-11-01,14254711000001104,114,tablet,RXY
2020-11-01,38728311000001104,89,tablet,RK9
2020-11-01,38728311000001104,107,tablet,RT2
2020-11-01,38728311000001104,107,tablet,RXY
2020-12-01,42206511000001102,116,tablet,RK9
2020-12-01,42206511000001102,90,tablet,RT2
2020-12-01,42206511000001102,108,tablet,RXY
2020-12-01,14254711000001104,95,tablet,RK9
2020-12-01,14254711000001104,114,tablet,RT2
2020-12-01,14254711000001104,104,tablet,RXY
2020-12-01,38728311000001104,105,tablet,RK9
2020-12-01,38728311000001104,120,tablet,RT2
2020-12-01,38728311000001104,80,tablet,RXY
2020-12-31,42206511000001102,111,tablet,RK9
2020-12-31,42206511000001102,101,tablet,RT2
2020-12-31,42206511000001102,95,tablet,RXY
2020-12-31,14254711000001104,104,tablet,RK9
2020-12-31,14254711000001104,81,tablet,RT2
2020-12-31,14254711000001104,95,tablet,RXY
2020-12-31,38728311000001104,114,tablet,RK9
2020-12-31,38728311000001104,89,tablet,RT2
2020-12-31,38728311000001104,119,tablet,RXY
2021-01-30,42206511000001102,111,tablet,RK9
2021-01-30,42206511000001102,112,tablet,RT2
2021-01-30,42206511000001102,100,tablet,RXY
2021-01-30,14254711000001104,112,tablet,RK9
2021-01-30,14254711000001104,88,tablet,RT2
2021-01-30,14254711000001104,113,tablet,RXY
2021-01-30,38728311000001104,115,tablet,RK9
2021-01-30,38728311000001104,87,tablet,RT2
2021-01-30,38728311000001104,104,tablet,RXY
2021-03-01,42206511000001102,118,tablet,RK9
2021-03-01,42206511000001102,81,tablet,RT2
2021-03-01,42206511000001102,118,tablet,RXY
2021-03-01,14254711000001104,86,tablet,RK9
2021-03-01,14254711000001104,111,tablet,RT2
2021-03-01,14254711000001104,85,tablet,RXY
2021-03-01,38728311000001104,107,tablet,RK9
2021-03-01,38728311000001104,106,tablet,RT2
2021-03-01,38728311000001104,96,tablet,RXY
2021-03-31,42206511000001102,101,tablet,RK9
2021-03-31,42206511000001102,101,tablet,RT2
2021-03-31,42206511000001102,89,tablet,RXY
2021-03-31,14254711000001104,85,tablet,RK9
2021-03-31,14254711000001104,119,tablet,RT2
2021-03-31,14254711000001104,110,tablet,RXY
2021-03-31,38728311000001104,94,tablet,RK9
2021-03-31,38728311000001104,98,tablet,RT2
2021-03-31,38728311000001104,116,tablet,RXY
