vmp_id,vmp_name,ddd_comment,expressed_as_strnt_nmrtr,expressed_as_strnt_nmrtr_uom,expressed_as_strnt_nmrtr_uom_name
39717911000001108,Lanthanum carbonate 1g chewable tablets,Expressed as lanthanum,1.0,258682000,gram
20920911000001109,Lanthanum carbonate 1g oral powder sachets,Expressed as lanthanum,1.0,258682000,gram
42683111000001104,Benzathine benzylpenicillin 1.2million unit powder for suspension for injection vials,Expressed as benzylpenicillin,720.0,258684004,mg
10153111000001102,Benzathine benzylpenicillin 1.2million unit powder and solvent for suspension for injection vials,Expressed as benzylpenicillin,720.0,258684004,mg
10153211000001108,Benzathine benzylpenicillin 2.4million unit powder and solvent for suspension for injection vials,Expressed as benzylpenicillin,1440.0,258684004,mg
10150911000001107,"Benzathine benzylpenicillin 600,000unit powder and solvent for suspension for injection vials",Expressed as benzylpenicillin,360.0,258684004,mg
4427411000001103,Calcium folinate 3mg/1ml solution for injection ampoules,Expressed as folinic acid,3.0,258684004,mg
41983011000001103,Calcium folinate 15mg tablets,Expressed as folinic acid,15.0,258684004,mg
4395911000001100,Calcium folinate 30mg/10ml solution for injection ampoules,Expressed as folinic acid,3.0,258684004,mg
4559511000001100,Calcium folinate 15mg/2ml solution for injection ampoules,Expressed as folinic acid,7.5,258684004,mg
4638711000001105,Calcium folinate 350mg/35ml solution for injection vials,Expressed as folinic acid,10.0,258684004,mg
4751011000001108,Calcium folinate 300mg/30ml solution for injection vials,Expressed as folinic acid,10.0,258684004,mg
4750911000001100,Calcium folinate 100mg/10ml solution for injection vials,Expressed as folinic acid,10.0,258684004,mg
4751211000001103,Calcium folinate 50mg/5ml solution for injection vials,Expressed as folinic acid,10.0,258684004,mg
4751111000001109,Calcium folinate 50mg/5ml solution for injection ampoules,Expressed as folinic acid,10.0,258684004,mg
39712611000001100,Disodium folinate 100mg/2ml solution for injection vials,Expressed as folinic acid,50.0,258684004,mg
39712811000001101,Disodium folinate 400mg/8ml solution for injection vials,Expressed as folinic acid,50.0,258684004,mg
39713011000001103,Disodium folinate 900mg/18ml solution for injection vials,Expressed as folinic acid,50.0,258684004,mg
10561011000001102,Calcium folinate 200mg/20ml solution for injection vials,Expressed as folinic acid,10.0,258684004,mg
10561111000001101,Calcium folinate 500mg/50ml solution for infusion vials,Expressed as folinic acid,10.0,258684004,mg
12289711000001101,Calcium folinate 12.5mg/5ml oral suspension,Expressed as folinic acid,2.5,258684004,mg
12289611000001105,Calcium folinate 12.5mg/5ml oral solution,Expressed as folinic acid,2.5,258684004,mg
12289911000001104,Calcium folinate 15mg/5ml oral suspension,Expressed as folinic acid,3.0,258684004,mg
12289811000001109,Calcium folinate 15mg/5ml oral solution,Expressed as folinic acid,3.0,258684004,mg
12290111000001108,Calcium folinate 33.333mg/5ml oral suspension,Expressed as folinic acid,6.667,258684004,mg
12290011000001107,Calcium folinate 33.333mg/5ml oral solution,Expressed as folinic acid,6.667,258684004,mg
12290311000001105,Calcium folinate 37.5mg/5ml oral suspension,Expressed as folinic acid,7.5,258684004,mg
12290211000001102,Calcium folinate 37.5mg/5ml oral solution,Expressed as folinic acid,7.5,258684004,mg
12290511000001104,Calcium folinate 6.67mg/5ml oral suspension,Expressed as folinic acid,1.334,258684004,mg
12290411000001103,Calcium folinate 6.67mg/5ml oral solution,Expressed as folinic acid,1.334,258684004,mg
12290711000001109,Calcium folinate 7.5mg/5ml oral suspension,Expressed as folinic acid,1.5,258684004,mg
12290611000001100,Calcium folinate 7.5mg/5ml oral solution,Expressed as folinic acid,1.5,258684004,mg
18033811000001102,Disodium folinate 200mg/4ml solution for injection vials,Expressed as folinic acid,50.0,258684004,mg
18033911000001107,Disodium folinate 50mg/1ml solution for injection vials,Expressed as folinic acid,50.0,258684004,mg
41986211000001101,Lanthanum carbonate 750mg chewable tablets,Expressed as lanthanum,750.0,258684004,mg
41986111000001107,Lanthanum carbonate 500mg chewable tablets,Expressed as lanthanum,500.0,258684004,mg
20921011000001101,Lanthanum carbonate 750mg oral powder sachets,Expressed as lanthanum,750.0,258684004,mg
23590111000001108,Calcium levofolinate 50mg/5ml solution for injection vials,Expressed as levofolinic acid,10.0,258684004,mg
4637911000001106,Calcium levofolinate 25mg/2.5ml solution for injection vials,Expressed as levofolinic acid,10.0,258684004,mg
10140811000001100,Calcium levofolinate 175mg/17.5ml solution for injection vials,Expressed as levofolinic acid,10.0,258684004,mg
36003111000001107,Levofolinic acid 50mg/1ml solution for injection vials,Expressed as levofolinic acid,50.0,258684004,mg
36003011000001106,Levofolinic acid 200mg/4ml solution for injection vials,Expressed as levofolinic acid,50.0,258684004,mg
38894811000001105,Iron dextran 100mg/2ml solution for injection ampoules,Fe,50.0,258684004,mg
36049811000001107,Iron sucrose 100mg/5ml solution for injection ampoules,Fe,20.0,258684004,mg
13639411000001108,Iron dextran 500mg/10ml solution for injection ampoules,Fe,50.0,258684004,mg
